product_id,product_name,category,cost_price,selling_price,launch_date,supplier_id
P001,Electronics Item 1,Electronics,22.26,34.67,2023-01-01,S004
P002,Home Item 2,Home,370.87,771.3,2023-01-01,S009
P003,Electronics Item 3,Electronics,299.34,371.58,2023-01-01,S002
P004,Home Item 4,Home,124.0,245.85,2023-01-01,S009
P005,Home Item 5,Home,360.85,762.02,2023-01-01,S007
P006,Home Item 6,Home,230.11,359.35,2023-01-01,S001
P007,Home Item 7,Home,352.09,578.25,2023-01-01,S003
P008,Home Item 8,Home,479.03,784.45,2023-01-01,S002
P009,Accessories Item 9,Accessories,57.39,132.1,2023-01-01,S010
P010,Office Item 10,Office,405.49,871.26,2023-01-01,S009
P011,Electronics Item 11,Electronics,486.83,823.76,2023-01-01,S009
P012,Office Item 12,Office,416.41,834.52,2023-01-01,S006
P013,Appliances Item 13,Appliances,104.22,134.49,2023-01-01,S004
P014,Office Item 14,Office,492.76,1139.22,2023-01-01,S002
P015,Accessories Item 15,Accessories,146.21,296.28,2023-01-01,S006
P016,Home Item 16,Home,191.39,281.79,2023-01-01,S005
P017,Electronics Item 17,Electronics,308.47,438.79,2023-01-01,S004
P018,Home Item 18,Home,236.51,366.81,2023-01-01,S009
P019,Home Item 19,Home,345.46,793.08,2023-01-01,S001
P020,Home Item 20,Home,412.68,927.11,2023-01-01,S007
P021,Office Item 21,Office,42.43,101.28,2023-01-01,S010
P022,Office Item 22,Office,114.19,211.14,2023-01-01,S008
P023,Home Item 23,Home,139.79,212.57,2023-01-01,S009
P024,Appliances Item 24,Appliances,138.74,271.93,2023-01-01,S010
P025,Accessories Item 25,Accessories,187.38,467.8,2023-01-01,S003
P026,Appliances Item 26,Appliances,251.82,549.6,2023-01-01,S002
P027,Home Item 27,Home,317.45,707.82,2023-01-01,S007
P028,Appliances Item 28,Appliances,41.13,69.76,2023-01-01,S008
P029,Appliances Item 29,Appliances,133.19,255.62,2023-01-01,S001
P030,Electronics Item 30,Electronics,344.04,653.01,2023-01-01,S005
P031,Office Item 31,Office,64.66,114.14,2023-01-01,S008
P032,Electronics Item 32,Electronics,477.37,1116.38,2023-01-01,S005
P033,Appliances Item 33,Appliances,383.36,713.04,2023-01-01,S002
P034,Office Item 34,Office,422.42,785.69,2023-01-01,S004
P035,Home Item 35,Home,193.22,272.44,2023-01-01,S009
P036,Electronics Item 36,Electronics,303.48,556.94,2023-01-01,S002
P037,Office Item 37,Office,440.57,1005.01,2023-01-01,S005
P038,Home Item 38,Home,38.38,89.86,2023-01-01,S002
P039,Electronics Item 39,Electronics,368.63,833.41,2023-01-01,S009
P040,Home Item 40,Home,72.91,132.54,2023-01-01,S009
